ID,Event_team,Player,playerno,Shot_place,Shot_outcome,Location,Body_Part,assist_method,Situation,fastbreak,is_goal,xG
1,Occidental,David Paine,5,12,1,7,2,0,1,0,0,0.34
1,Occidental,Adrian Paredes,14,5,1,13,1,0,3,0,0,1
1,Occidental,Adrian Paredes,14,1,2,15,1,0,1,0,0,0
1,Biola,Leo Thompson,0,5,1,15,1,0,4,0,0,1
1,Biola,James Kilgallon,0,8,1,9,1,0,1,0,0,0.06
1,Occidental,Nicolas Eble,6,3,4,9,2,0,1,1,0,0
1,Biola,Henry Reeves,0,2,3,9,2,0,1,0,0,0
1,Occidental,Adrian Paredes,14,5,1,9,3,0,3,0,0,1
1,Occidental,Adrian Paredes,14,5,1,13,1,1,1,0,1,0.67
1,Occidental,Jack Meeker,13,5,1,14,1,0,3,0,1,0.75
1,Biola,Jack Kilgallon,0,5,1,3,1,0,1,1,1,1
1,Occidental,Ben Tucker,27,1,2,3,1,0,3,0,0,0
1,Biola,James Kilgallon,0,4,1,11,2,0,1,0,0,0.05
2,Occidental,Jasper Brannon,10,4,1,11,2,1,1,0,1,0.1
2,Occidental,Riley McCabe,2,3,1,10,3,2,3,0,1,1
2,Occidental,Nicolas Eble,6,6,2,15,1,0,1,0,0,0
2,Occidental,Spencer Shearer,3,10,2,3,3,2,3,0,0,0
2,Occidental,David Paine,5,3,1,11,3,2,1,0,1,0.07
2,Pacific,Robert Nurmi,0,9,2,4,1,0,1,0,0,0
2,Occidental,Logan Myers,16,3,3,15,2,0,1,0,0,0
2,Pacific,Woodey Greer,0,3,1,3,2,4,1,0,1,0.61
2,Occidental,Ryan Wilson,4,10,2,15,1,0,4,0,0,0
2,Occidental,Logan Myers,16,3,1,3,2,4,1,0,1,0.61
2,Occidental,Ryan Wilson,4,12,1,4,1,0,1,0,1,0.58
2,Occidental,Matthew Teplitz,7,2,3,15,2,0,1,0,0,0
2,Occidental,Jasper Brannon,10,9,2,10,1,1,1,0,0,0
2,Occidental,Jake Foster,18,1,2,13,3,2,1,0,0,0
2,Pacific,Cade Taniguchi,0,5,1,7,2,4,1,1,0,1
2,Occidental,Nicolas Eble,6,12,1,3,3,2,1,1,1,1
2,Occidental,Teagan Jarvis,21,2,3,3,2,1,1,0,0,0
2,Occidental,Marcus Blumenfeld,9,9,2,9,1,4,1,1,0,0
3,Concordia,Gomez,0,2,3,9,2,0,1,0,0,0
3,Concordia,E. Guerrero,0,5,1,15,1,0,1,1,0,1
3,Occidental,Riley McCabe,2,1,2,10,3,0,2,0,0,0
3,Concordia,Torres-Martinez,0,10,2,3,1,0,1,0,0,0
3,Concordia,Abrego,0,2,3,15,1,0,4,0,0,0
3,Occidental,Nicolas Eble,6,8,1,9,3,4,1,0,0,0.11
3,Occidental,Adrian Paredes,14,11,1,3,3,1,2,0,0,1
3,Occidental,Sean Kim,12,4,1,3,3,2,3,0,0,1
3,Occidental,David Paine,5,8,2,3,1,0,1,0,0,0
3,Occidental,Logan Myers,16,5,1,15,1,0,1,0,0,0.02
3,Concordia,Barrows,0,6,2,17,1,0,1,0,0,0
3,Occidental,Adrian Paredes,14,3,1,15,1,0,4,0,0,1
3,Occidental,Adrian Paredes,14,9,2,17,1,0,1,0,0,0
3,Occidental,David Paine,5,10,2,3,1,2,3,0,0,0
3,Concordia,Abrego,0,4,1,15,1,0,1,0,0,0.12
3,Occidental,Adrian Paredes,14,1,2,3,3,0,2,0,0,0
3,Occidental,Adrian Paredes,14,9,2,3,3,2,3,0,0,0
3,Occidental,Adrian Paredes,14,6,2,11,3,2,1,0,0,0
3,Occidental,Joey Schwartz,19,2,3,11,1,2,1,1,0,0
